12173,2015,10	3767,29157
12177,2015,10	53,290
12191,2015,10	4698,37829
12197,2015,10	716,6782
12206,2015,10	279,2794
12217,2015,10	389,1848
12255,2015,10	53,163
12264,2015,10	2993,21472
12265,2015,10	22,159
12266,2015,10	13139,124158
12278,2015,10	691,4192
12280,2015,10	201,820
12323,2015,10	215,1551
12335,2015,10	56,156
12339,2015,10	2372,15353
12343,2015,10	52,681
12389,2015,10	218,1300
12391,2015,10	366,3746
12402,2015,10	504,1120
12441,2015,10	157,1194
12448,2015,10	647,4711
12451,2015,10	1702,11406
12478,2015,10	8247,100495
12511,2015,10	56,500
12519,2015,10	75,267
12523,2015,10	330,3044
12758,2015,10	967,4446
12819,2015,10	185,1858
12884,2015,10	223,1394
12888,2015,10	50,284
12889,2015,10	12675,101599
12891,2015,10	120,986
12892,2015,10	17661,141988
12896,2015,10	430,6348
12898,2015,10	116,1544
12915,2015,10	190,1107
12945,2015,10	583,4065
12951,2015,10	425,3637
12953,2015,10	8454,97061
12954,2015,10	773,5703
12982,2015,10	882,4978
12992,2015,10	1040,7112
13029,2015,10	288,1707
13061,2015,10	198,2033
13076,2015,10	165,928
13127,2015,10	53,57
13158,2015,10	594,5199
13184,2015,10	142,1457
13198,2015,10	3545,25402
13204,2015,10	9025,73253
13230,2015,10	285,1356
13232,2015,10	7604,38364
13241,2015,10	83,1094
13244,2015,10	1513,10900
13256,2015,10	234,2212
13264,2015,10	243,2574
13277,2015,10	305,2311
13290,2015,10	150,828
13296,2015,10	577,3590
13303,2015,10	5941,52307
13342,2015,10	2636,17633
13344,2015,10	62,558
13360,2015,10	116,408
13367,2015,10	306,1897
13377,2015,10	275,2028
13422,2015,10	432,3560
13433,2015,10	217,1287
13459,2015,10	26,40
13476,2015,10	234,2484
13485,2015,10	836,4625
13486,2015,10	169,763
13487,2015,10	10606,76803
13495,2015,10	3663,25495
13502,2015,10	7,39
13541,2015,10	11,23
13577,2015,10	505,4331
13795,2015,10	112,1295
13796,2015,10	3986,24298
13830,2015,10	1818,10379
13851,2015,10	1627,11782
13871,2015,10	1497,10485
13873,2015,10	60,485
13891,2015,10	1738,14596
13930,2015,10	27531,216532
13931,2015,10	910,6596
13933,2015,10	60,313
13964,2015,10	36,992
13970,2015,10	61,485
14006,2015,10	60,279
14025,2015,10	13,255
14027,2015,10	1742,15300
14057,2015,10	4550,29359
14098,2015,10	114,783
14100,2015,10	6055,54398
14107,2015,10	12895,93788
14108,2015,10	473,3327
14109,2015,10	52,803
14113,2015,10	57,124
14122,2015,10	2127,12955
14150,2015,10	62,392
14193,2015,10	474,3006
14222,2015,10	9,150
14252,2015,10	210,1323
14254,2015,10	60,613
14256,2015,10	61,908
14262,2015,10	673,5509
14307,2015,10	1094,8440
14321,2015,10	476,3647
14457,2015,10	235,1408
14487,2015,10	62,715
14489,2015,10	200,1383
14492,2015,10	2988,22525
14520,2015,10	88,225
14524,2015,10	1635,14858
14543,2015,10	57,195
14570,2015,10	1144,8867
14574,2015,10	223,1023
14576,2015,10	735,5369
